# n,de,permeability
2.979999999999999871e-01,9.489999999999999825e-02,1.955000000000000071e+00
2.949999999999999845e-01,3.322999999999999843e-01,1.666799999999999926e+01
2.829999999999999738e-01,4.978000000000000203e-01,4.313400000000000034e+01
2.829999999999999738e-01,3.598999999999999977e-01,4.313400000000000034e+01
2.829999999999999738e-01,2.283999999999999919e-01,4.313400000000000034e+01
2.359999999999999876e-01,5.736999999999999877e-01,7.940500000000000114e+01
2.359999999999999876e-01,5.470000000000000417e-01,7.940500000000000114e+01
2.359999999999999876e-01,5.282000000000000028e-01,7.940500000000000114e+01
2.359999999999999876e-01,2.565999999999999948e-01,7.940500000000000114e+01
2.129999999999999949e-01,1.174500000000000099e+00,2.671840000000000259e+02
2.129999999999999949e-01,1.074400000000000022e+00,2.671840000000000259e+02
2.129999999999999949e-01,7.244000000000000439e-01,2.671840000000000259e+02
2.760000000000000231e-01,1.203600000000000003e+00,2.025939999999999941e+02
2.730000000000000204e-01,4.194999999999999840e-01,1.361610000000000014e+02
3.009999999999999898e-01,2.041000000000000036e-01,3.201800000000000068e+01
3.009999999999999898e-01,2.841000000000000192e-01,3.201800000000000068e+01
3.029999999999999916e-01,7.374000000000000554e-01,7.609499999999999886e+01
3.029999999999999916e-01,5.470000000000000417e-01,7.609499999999999886e+01
3.029999999999999916e-01,3.205999999999999961e-01,7.609499999999999886e+01
4.699999999999999734e-01,8.440000000000000280e-02,8.519999999999999796e-01
4.699999999999999734e-01,9.890000000000000180e-02,8.519999999999999796e-01
4.769999999999999796e-01,8.440000000000000280e-02,8.229999999999999538e-01
4.829999999999999849e-01,6.590000000000000024e-02,2.709999999999999964e+00
4.829999999999999849e-01,9.869999999999999607e-02,2.709999999999999964e+00
4.670000000000000262e-01,6.590000000000000024e-02,2.729000000000000092e+00
4.670000000000000262e-01,9.869999999999999607e-02,2.729000000000000092e+00
4.410000000000000031e-01,1.643000000000000016e-01,3.810000000000000053e+00
4.709999999999999742e-01,9.009999999999999953e-02,4.267999999999999794e+00
4.709999999999999742e-01,8.669999999999999929e-02,4.267999999999999794e+00
4.570000000000000173e-01,8.379999999999999949e-02,4.953999999999999737e+00
4.249999999999999889e-01,1.295000000000000040e-01,4.647000000000000242e+00
4.010000000000000231e-01,1.096000000000000030e-01,2.579000000000000181e+00
