Time,Conc,AUC_fra,AUC_cum,C*T,AUMC,AUMC_cum 
h, ng/ml, h*ng/m,h*ng/mL,ng*h,h*h*ng/mL,h*h*ng/mL
0,0,0,0,0,0,0
0.083,9.03,0.75,0.75,0.75,0.03,0.03
0.167,14.9,1.01,1.75,2.49,0.14,0.17
0.3,37.2,4.25,6,12.28,1.2,1.37
0.7,62,16.86,22.86,41.54,9.15,10.52
1,68.7,21.57,44.43,68.7,18.19,28.71
2,92.3,80.5,124.93,184.6,126.65,155.36
4,99.4,191.7,316.63,397.6,582.2,737.56
6,70.1,169.5,486.13,420.6,818.2,1555.76
10,38.3,216.8,702.93,383,1607.2,3162.96
24,12.1,352.8,1055.73,290.4,4713.8,7876.76
